Geneid	SRR1554534	SRR1554535	SRR1554539	SRR1554537	SRR1554538	SRR1554541
NM_000014.5	0	0	0	0	0	0
NM_000015.3	6	4	4	2	6	4
NM_000016.5	0	0	0	0	0	0
NM_000017.4	44	29	27	16	32	16
NM_000018.4	0	0	0	0	0	0
NM_000019.4	1465	2990	2323	4505	5209	8137
NM_000020.3	21	18	10	1	0	7
NM_000021.4	0	0	0	0	0	1
NM_000022.4	0	0	0	0	0	0
NM_000023.4	6	1	0	0	0	0
NM_000024.5	73	60	26	48	97	10
NM_000025.3	8	2	24	2	0	0
NM_000026.4	128	280	300	411	724	799
NM_000027.4	0	0	0	1	0	1
NM_000028.2	0	0	1	2	3	5
NM_000029.4	5878	13294	3141	20	82	254
NM_000030.3	0	0	0	0	0	0
NM_000031.6	0	0	0	0	0	0
NM_000032.5	0	0	1	5	9	0
NM_000033.4	325	316	191	890	955	727
NM_000035.4	36	105	83	41	62	88
NM_000036.2	0	0	0	0	0	0
NM_000037.4	0	0	0	0	0	0
NM_000038.6	0	0	0	0	0	0
NM_000039.2	0	0	0	0	0	0
NM_000040.3	0	0	0	0	0	0
NM_000041.4	0	0	0	0	0	0
NM_000042.3	0	0	0	0	2	1
NM_000043.6	0	0	0	0	0	0
NM_000044.6	1	0	0	3	4	2
NM_000045.4	0	0	0	0	0	0
NM_000046.5	463	704	630	2165	1738	2543
NM_000047.3	0	2	0	1	1	3
NM_000048.4	0	0	0	0	0	0
NM_000049.4	1019	3113	1393	7	23	35
NM_000050.4	6	9	3	0	0	0
NM_000051.3	0	0	0	0	0	0
NM_000052.7	2	1	3	20	36	46
NM_000053.4	0	0	0	0	0	0
NM_000054.6	0	0	0	0	0	0
NM_000055.4	0	0	0	0	0	0
NM_000056.4	0	0	0	0	0	0
NM_000057.4	0	0	0	0	0	0
NM_000059.3	7	41	34	880	1075	212
NM_000061.2	0	0	0	0	0	0
NM_000062.3	0	1	0	1	2	0
NM_000063.6	0	0	0	0	0	0
NM_000064.4	789	1662	354	1544	1787	314
NM_000065.4	0	0	0	0	0	0
NM_000066.4	0	0	0	0	0	0
NM_000067.3	68	147	52	8	13	16
NM_000068.4	0	0	0	0	0	0
NM_000069.3	98	57	98	23	41	22
NM_000070.3	0	0	0	0	0	0
NM_000071.2	4	5	3	49	29	16
NM_000072.3	0	0	0	0	0	0
NM_000073.2	4	2	8	0	0	0
NM_000074.3	0	0	2	0	0	1
NM_000075.4	502	565	419	2892	3473	1955
NM_000076.2	0	0	0	0	0	0
NM_000077.4	0	0	0	0	0	0
NM_000078.3	2	4	4	2	3	12
NM_000079.4	0	0	0	0	0	0
NM_000080.4	35	19	55	52	51	25
NM_000081.4	0	0	0	1	2	0
NM_000082.3	0	0	0	0	0	0
NM_000083.3	0	0	0	0	0	0
NM_000084.5	0	2	12	4	16	7
NM_000085.5	0	0	0	1	0	0
NM_000086.2	0	0	0	0	0	0
NM_000087.4	0	0	2	1	0	0
NM_000088.3	214	92	229	1570	5207	11783
NM_000089.4	608	414	704	3490	9433	18653
NM_000090.3	112	60	171	2733	8141	19613
NM_000091.5	136	251	268	47	61	67
NM_000092.5	132	166	188	81	54	205
NM_000093.5	1	0	1	0	2	0
NM_000094.3	1215	867	932	977	1173	1167
NM_000095.3	0	0	0	0	2	0
NM_000096.4	7	6	12	1	1	1
NM_000097.7	1193	2105	1596	1652	2110	1990
NM_000098.3	0	4	0	7	10	3
NM_000099.4	2690	4120	2079	349	320	202
NM_000100.3	1759	2766	1405	2879	3165	3103
NM_000101.4	194	136	122	222	509	159
NM_000102.4	57	37	52	22	13	17
NM_000103.4	0	0	0	0	0	0
NM_000104.3	397	437	997	289	1103	2767
NM_000106.6	7	4	4	37	34	26
NM_000107.2	79	118	67	258	262	226
NM_000108.5	0	0	0	0	0	0
NM_000109.4	0	2	8	5	2	4
NM_000110.4	116	349	207	369	554	547
NM_000111.3	0	15	10	3	5	11
NM_000112.4	166	299	360	1659	2759	2721
NM_000113.3	1593	2193	2150	3981	4223	4987
NM_000115.5	0	0	0	0	0	0
NM_000116.5	0	0	0	0	0	0
NM_000117.3	1072	1542	1017	2455	2571	2928
NM_000118.3	3	4	3	4	3	3
NM_000119.3	0	0	0	0	0	0
NM_000120.4	2	0	0	0	0	0
NM_000121.4	0	0	0	0	0	0
NM_000122.2	0	0	0	0	0	0
NM_000123.3	49	44	75	290	357	219
NM_000124.4	0	0	0	0	1	2
NM_000125.3	0	0	0	0	0	0
NM_000126.4	145	169	133	123	206	202
NM_000127.2	857	744	948	2320	3149	2200
NM_000128.4	5	35	2	4	2	2
NM_000129.4	184	174	399	48	423	632
NM_000130.5	41	90	97	25	19	50
NM_000131.4	0	0	4	2	0	2
NM_000132.3	38	45	33	47	73	35
NM_000133.4	0	0	0	0	0	0
NM_000134.4	4	0	0	0	0	2
NM_000135.4	0	0	0	0	0	0
NM_000136.3	0	0	0	0	0	0
NM_000137.3	232	385	151	50	109	60
NM_000138.4	1081	1210	1653	1832	2950	4381
NM_000139.5	0	0	0	1	0	0
NM_000140.4	0	0	0	0	0	0
NM_000141.4	0	0	0	0	0	0
NM_000142.4	0	0	0	0	0	0
NM_000143.3	1845	3121	2565	2968	3348	4312
NM_000144.5	0	0	0	0	0	0
NM_000145.4	0	0	0	0	0	0
NM_000146.4	16129	23815	14867	20028	30766	24176
NM_000147.4	330	671	609	876	895	1348
NM_000148.3	0	0	3	0	0	0
NM_000149.3	0	0	0	0	1	6
NM_000150.2	0	0	0	0	0	0
NM_000151.4	0	0	0	0	0	0
NM_000152.5	9	0	2	8	6	7
NM_000153.4	0	0	0	0	0	0
NM_000154.2	397	343	217	389	273	191
NM_000155.4	85	173	115	202	285	137
NM_000156.6	370	548	200	364	370	345
NM_000157.4	0	0	0	0	0	0
NM_000158.4	507	965	769	502	1124	2285
NM_000159.4	0	0	0	0	0	0
NM_000160.5	2	2	0	0	0	6
NM_000161.3	35	30	53	12	46	37
NM_000162.5	0	0	0	0	0	0
NM_000163.5	3	2	0	0	6	8
NM_000164.4	4	3	1	0	2	1
NM_000165.5	9382	25195	4028	1106	4639	7763
NM_000166.6	9	46	17	0	0	0
NM_000167.5	0	0	0	0	0	0
NM_000168.6	475	817	139	7541	13166	522
NM_000169.2	231	372	318	1147	1255	1120
NM_000170.2	641	966	707	1548	1213	1388
NM_000171.4	0	0	0	0	0	0
NM_000172.4	0	0	0	0	0	0
NM_000173.7	47	55	44	116	140	171
NM_000174.4	2	0	0	9	10	4
NM_000175.5	0	0	0	0	0	0
NM_000176.3	0	0	0	0	0	0
NM_000177.5	15	35	14	0	0	0
NM_000178.4	0	0	0	2	2	0
NM_000179.2	0	0	0	0	0	0
NM_000180.4	22	14	16	3	9	11
NM_000181.4	0	0	0	0	0	0
NM_000182.5	3446	5575	3517	9270	11875	8863
NM_000183.3	0	0	0	0	0	0
NM_000184.3	2	0	25	10631	12449	4519
NM_000185.4	24	23	20	36	308	456
NM_000186.4	160	266	310	240	1069	2257
NM_000187.4	2	17	8	3	21	5
NM_000188.2	0	0	0	0	0	0
NM_000189.5	10	5	2	105	102	56
NM_000190.4	0	0	0	0	0	0
NM_000191.3	13	43	37	22	37	28
NM_000192.3	0	0	0	0	0	0
NM_000193.4	98	154	139	24	30	64
NM_000194.3	2399	6910	5647	1379	1410	2686
NM_000195.5	0	0	0	0	0	0
NM_000196.4	47	29	37	8	34	12
NM_000197.2	59	132	35	0	8	2
NM_000198.4	1	1	0	0	0	0
NM_000199.5	0	0	0	0	0	0
NM_000200.3	0	0	0	0	0	0
NM_000201.3	160	124	86	52	81	87
NM_000202.8	0	0	0	0	0	0
NM_000203.5	0	3	0	3	5	4
NM_000204.4	0	0	4	0	2	5
NM_000206.2	23	13	22	0	4	10
NM_000207.3	0	0	0	0	0	0
NM_000208.4	0	0	0	1	0	5
NM_000209.4	0	0	0	0	0	0
NM_000210.4	0	0	0	0	0	0
NM_000211.5	0	0	0	0	0	0
NM_000212.2	64	16	45	908	399	616
NM_000213.5	14	3	1	0	0	0
NM_000214.3	1019	782	1305	1685	3450	1781
NM_000215.3	481	554	615	106	119	122
NM_000216.4	668	1363	1127	1641	2438	1217
NM_000217.3	2982	4782	8397	12	347	1135
NM_000218.3	1	0	1	1	1	0
NM_000219.6	1	0	5	3	5	3
NM_000220.5	0	0	0	0	0	0
NM_000221.3	30	33	29	34	39	34
NM_000222.2	0	0	0	0	0	0
NM_000223.4	6	0	2	0	8	2
