"gene name" "logFC"	"P.Value"	"adj.P.Val"
"SOX11"	9.67860041322303	9.70690845526179e-11	3.10524001483825e-07
"DRAXIN"	7.86110923258396	1.88139961461087e-09	3.00929868357009e-06
"SOX4"	7.62864305855172	4.89847058181853e-09	4.58767412975646e-06
"GABRD"	-5.66847873125636	5.73638528259639e-09	4.58767412975646e-06
"MEX3B"	5.22409252917948	1.03546982326071e-08	5.72022492018863e-06
"BHLHE22"	5.89390337553401	1.10420856001052e-08	5.72022492018863e-06
"MEX3A"	9.18101865182407	1.43807987133818e-08	5.72022492018863e-06
"SCUBE1"	7.07169478054372	1.50792178167673e-08	5.72022492018863e-06
"CRACD"	4.97836671263411	1.60931617010621e-08	5.72022492018863e-06
"THBS1"	5.8271850049023	2.68532859360057e-08	7.58925489909665e-06
"MN1"	5.71969426650449	2.6908247429919e-08	7.58925489909665e-06
"TTC28"	5.16171912526228	3.03325951016974e-08	7.58925489909665e-06
"NKAIN1"	5.12489866323526	3.08409858356538e-08	7.58925489909665e-06
"TRIOBP"	6.28427318813893	3.32937006324531e-08	7.60761059451553e-06
"GPC2"	6.74314295596899	4.198738156761e-08	8.95450890898562e-06
"PXDN"	4.12848613893768	4.47948738929778e-08	8.95617509897726e-06
"POU3F2"	4.91155039880894	7.02814482045277e-08	1.2659086529746e-05
"TIAM2"	5.6755764812627	7.12296209863795e-08	1.2659086529746e-05
"ADRA2A"	4.35786837593626	7.91512231155774e-08	1.33265664603543e-05
"NEFH"	-4.59732303959145	1.01618922505704e-07	1.62539466547874e-05
"ZBTB8B"	5.29089044612988	1.18185365045813e-07	1.68758927515221e-05
"C11orf95"	3.73804998675213	1.20226814992543e-07	1.68758927515221e-05
"NYNRIN"	4.37411663099572	1.25702220358189e-07	1.68758927515221e-05
"VANGL2"	4.99215997340291	1.28720430867732e-07	1.68758927515221e-05
"LRRC55"	4.05331430540447	1.38235655958136e-07	1.68758927515221e-05
"LPAR2"	5.77683948049702	1.40483472353684e-07	1.68758927515221e-05
"XKR7"	3.70244600629442	1.50278171138252e-07	1.68758927515221e-05
"DCHS1"	4.47105638492097	1.51539927450477e-07	1.68758927515221e-05
"CACNG4"	3.67187997744303	1.52985586056312e-07	1.68758927515221e-05
"VASH1"	3.44194023105177	1.60863935755461e-07	1.70174851891497e-05
"RSPO3"	4.81653659023398	1.64908421651654e-07	1.70174851891497e-05
"SBK1"	3.69656040892175	1.85453560613719e-07	1.85395606376028e-05
"TSPAN18"	5.0517163487576	2.24265637861848e-07	2.13360528570604e-05
"CPLX1"	-4.06423614637605	2.26766426114428e-07	2.13360528570604e-05
"ZBED4"	3.71196454591196	2.40713600576301e-07	2.20012230926739e-05
"RALGAPA2"	3.5495924584045	2.63690316979638e-07	2.26102150270004e-05
"LRATD2"	3.69443984469035	2.68608544930796e-07	2.26102150270004e-05
"GABPB1-AS1"	3.75866508946068	2.6981330743224e-07	2.26102150270004e-05
"PLXNA3"	3.80349159841343	2.75648135683969e-07	2.26102150270004e-05
"SOX12"	3.6272654238508	2.83486830936749e-07	2.26718593041665e-05
"HAPLN4"	-3.65324654451523	3.07274234720528e-07	2.34845144062706e-05
"ZNF70"	3.2525304133584	3.08330604896332e-07	2.34845144062706e-05
"EXTL1"	-3.5307387397191	3.17459837290612e-07	2.34992334488145e-05
"ZSWIM5"	3.40229218624032	3.23215464753936e-07	2.34992334488145e-05
"NEUROD2"	3.57296549289917	3.38653847159248e-07	2.40745257124985e-05
"EEF1A1"	3.65332098111072	3.64999451244844e-07	2.53833314028751e-05
"BRD3"	3.18698894148743	3.79469805929909e-07	2.58281682802081e-05
"EEF1G"	3.481307379448	3.90977163699113e-07	2.5987510314521e-05
"BCL9"	3.15198847860469	4.0622301447721e-07	2.5987510314521e-05
"POU3F3"	3.64847039161562	4.10799135157328e-07	2.5987510314521e-05
"CCDC88C"	3.7481632065585	4.14305416080203e-07	2.5987510314521e-05
"CEP89"	3.12069541202596	4.26961647896031e-07	2.6266352146527e-05
"CLMP"	5.45598943270814	4.42726081376217e-07	2.67222780060853e-05
"TUBB3"	3.92493113568208	4.99246486141342e-07	2.91743082974166e-05
"RPL18A"	3.33988270767239	5.0159017079022e-07	2.91743082974166e-05
"CTTNBP2NL"	3.52892437942975	5.87390286304611e-07	3.29713157932273e-05
"FBXL16"	-3.12450617659805	5.87485151676761e-07	3.29713157932273e-05
"ALMS1"	3.69130759644692	6.44436752417515e-07	3.45654742713016e-05
"H3P6"	3.78973837959947	6.63230325227342e-07	3.45654742713016e-05
"CARMIL3"	3.71261372229308	6.63520767113137e-07	3.45654742713016e-05
"ZNF8"	3.34079516482306	6.65999971694283e-07	3.45654742713016e-05
"PRSS12"	4.6328837519395	6.69915412572898e-07	3.45654742713016e-05
"KIF26B"	4.12019263007268	7.19781383254743e-07	3.62277069377353e-05
"ZNF608"	3.53022330305506	7.24780632702426e-07	3.62277069377353e-05
"RN7SL1"	4.04883549775201	7.47599090490878e-07	3.67933767766203e-05
"LINC01102"	4.51115545999081	8.11979096154262e-07	3.89844765575989e-05
"SBF2"	3.23894428354639	8.22688949459412e-07	3.89844765575989e-05
"FGFBP3"	4.13443697723653	8.42928722255415e-07	3.89844765575989e-05
"PADI2"	-5.42616273311084	8.47959428141729e-07	3.89844765575989e-05
"RNF165"	2.94027562324632	8.53052003448553e-07	3.89844765575989e-05
"H3-3A"	3.83268679047487	8.76784244380337e-07	3.93091510395639e-05
"ZCCHC14"	3.05172149623605	8.84732377258081e-07	3.93091510395639e-05
"MFSD4A"	-4.26401484485123	9.21956652538299e-07	3.94761152260347e-05
"AMER1"	3.51484096702306	9.25450261570466e-07	3.94761152260347e-05
"RPL37"	3.61632743851464	9.25510672695405e-07	3.94761152260347e-05
"KCTD7"	2.94263471798396	9.66423568290297e-07	4.02604356395348e-05
"NEUROD6"	3.81240127534742	9.69069566815936e-07	4.02604356395348e-05
"KAT6A"	2.9220397966122	9.95137497620894e-07	4.08133955755031e-05
"PELI2"	4.20609647591175	1.02719744669341e-06	4.10390654788187e-05
"ZNF589"	2.91756463450338	1.04394317525411e-06	4.10390654788187e-05
"SCN2B"	-3.23625682261505	1.0508435304969e-06	4.10390654788187e-05
"CNTNAP1"	-3.47966801346858	1.05195478876622e-06	4.10390654788187e-05
"EPHA3"	5.38878600688543	1.11688921427772e-06	4.30473324876439e-05
"SOGA1"	3.29142628506043	1.16814380616484e-06	4.33268682351409e-05
"MED1"	2.85522381432893	1.18005102663963e-06	4.33268682351409e-05
"ZNF354C"	3.51705317829342	1.20218453751793e-06	4.33268682351409e-05
"PABPC1"	3.34191718022161	1.20543223614059e-06	4.33268682351409e-05
"RPRM"	4.05087099560874	1.21636983266866e-06	4.33268682351409e-05
"ALDOC"	-4.80407651678698	1.23071044734374e-06	4.33268682351409e-05
"SETBP1"	3.81969344888564	1.23205735098829e-06	4.33268682351409e-05
"ZNF609"	2.9231195380508	1.23249296948978e-06	4.33268682351409e-05
"HIC2"	2.68857020082442	1.28713120365984e-06	4.39507562860753e-05
"IGFBPL1"	6.32006277029157	1.28899752937719e-06	4.39507562860753e-05
"DDN"	-4.89382170332811	1.3088661858234e-06	4.39507562860753e-05
"CYP46A1"	-3.73607991899602	1.31667701588449e-06	4.39507562860753e-05
"APOD"	-4.77858259735081	1.31893485572467e-06	4.39507562860753e-05
"PPP1R14B"	3.29963278275079	1.33533555569317e-06	4.40385406460047e-05
"BRWD3"	3.48293820827891	1.37129797509373e-06	4.47042184596414e-05
"MED13L"	3.00772367298261	1.38533822825231e-06	4.47042184596414e-05
"SMARCC1"	3.20462579648154	1.39744352796628e-06	4.47042184596414e-05
"FOXG1"	3.49651298985509	1.44678628790164e-06	4.58178743617956e-05
"NBPF1"	3.4230284223353	1.46546190671527e-06	4.58178743617956e-05
"RPS2"	3.40973335457697	1.47522383846982e-06	4.58178743617956e-05
"CCDC93"	2.8759150303726	1.49493420004513e-06	4.59836010186959e-05
"CENPF"	5.65267265078132	1.51320955438131e-06	4.61024510901505e-05
"KCTD12"	4.48386530099189	1.53216511343591e-06	4.62395867724669e-05
"KLHL25"	2.93059926973005	1.56352156963467e-06	4.67449112267413e-05
"KIF26A"	4.20817113761704	1.60703820389377e-06	4.71706497395917e-05
"AFDN"	3.90626840515869	1.62880739253906e-06	4.71706497395917e-05
"RACK1"	3.06994238002915	1.63213811323444e-06	4.71706497395917e-05
"RPL4"	3.02812056852575	1.64199661533487e-06	4.71706497395917e-05
"RPL30"	3.28259931074221	1.65148883114544e-06	4.71706497395917e-05
"KDM4A"	2.70111685534453	1.68728038492096e-06	4.77664597465678e-05
"TSPYL2"	-2.67447120824735	1.74510252653062e-06	4.89619846596211e-05
"ZKSCAN2"	3.23755358060721	1.76012136163064e-06	4.89619846596211e-05
"SARM1"	2.6151780443579	1.78695034023194e-06	4.9064472420677e-05
"FAM117B"	3.94110221739922	1.79448054805227e-06	4.9064472420677e-05
"TSPAN14"	3.00697403371601	1.85509877985915e-06	4.98699425254679e-05
"RPL12"	3.08095167739215	1.85511821210712e-06	4.98699425254679e-05
"BCL9L"	2.94259643493061	1.90183889135078e-06	4.99373545922382e-05
"TENM4"	3.3485204181543	1.90506903133484e-06	4.99373545922382e-05
"FBL"	2.90546767510465	1.90636386581119e-06	4.99373545922382e-05
"RPL22"	3.0821401068723	1.92006708810419e-06	4.99373545922382e-05
